D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-6_time,DEHB-12,DEHB-12_sd,DEHB-12_time,DEHB-18,DEHB-18_sd,DEHB-18_time,DEHB-24,DEHB-24_sd,DEHB-24_time,DEHB-50,DEHB-50_sd,DEHB-50_time,DEHB-100,DEHB-100_sd,DEHB-100_time,DEHB-200,DEHB-200_sd,DEHB-200_time,NSGAIII-6,NSGAIII-6_sd,NSGAIII-6_time,NSGAIII-12,NSGAIII-12_sd,NSGAIII-12_time,NSGAIII-18,NSGAIII-18_sd,NSGAIII-18_time,NSGAIII-24,NSGAIII-24_sd,NSGAIII-24_time,NSGAIII-50,NSGAIII-50_sd,NSGAIII-50_time,NSGAIII-100,NSGAIII-100_sd,NSGAIII-100_time,NSGAIII-200,NSGAIII-200_sd,NSGAIII-200_time,SMAC-6,SMAC-6_sd,SMAC-6_time,SMAC-12,SMAC-12_sd,SMAC-12_time,SMAC-18,SMAC-18_sd,SMAC-18_time,SMAC-24,SMAC-24_sd,SMAC-24_time,SMAC-50,SMAC-50_sd,SMAC-50_time,SMAC-100,SMAC-100_sd,SMAC-100_time,SMAC-200,SMAC-200_sd,SMAC-200_time,TPE-6,TPE-6_sd,TPE-6_time,TPE-12,TPE-12_sd,TPE-12_time,TPE-18,TPE-18_sd,TPE-18_time,TPE-24,TPE-24_sd,TPE-24_time,TPE-50,TPE-50_sd,TPE-50_time,TPE-100,TPE-100_sd,TPE-100_time,TPE-200,TPE-200_sd,TPE-200_time,ACT-6,ACT-6_sd,ACT-6_time,ACT-12,ACT-12_sd,ACT-12_time,ACT-18,ACT-18_sd,ACT-18_time,ACT-24,ACT-24_sd,ACT-24_time,ACT-50,ACT-50_sd,ACT-50_time,ACT-100,ACT-100_sd,ACT-100_time,ACT-200,ACT-200_sd,ACT-200_time,EZR-6,EZR-6_sd,EZR-6_time,EZR-12,EZR-12_sd,EZR-12_time,EZR-18,EZR-18_sd,EZR-18_time,EZR-24,EZR-24_sd,EZR-24_time,EZR-50,EZR-50_sd,EZR-50_time,EZR-100,EZR-100_sd,EZR-100_time,EZR-200,EZR-200_sd,EZR-200_time,KM++-6,KM++-6_sd,KM++-6_time,RAND-6,RAND-6_sd,RAND-6_time,KM++-12,KM++-12_sd,KM++-12_time,RAND-12,RAND-12_sd,RAND-12_time,KM++-18,KM++-18_sd,KM++-18_time,RAND-18,RAND-18_sd,RAND-18_time,KM++-24,KM++-24_sd,KM++-24_time,RAND-24,RAND-24_sd,RAND-24_time,KM++-50,KM++-50_sd,KM++-50_time,RAND-50,RAND-50_sd,RAND-50_time,KM++-100,KM++-100_sd,KM++-100_time,RAND-100,RAND-100_sd,RAND-100_time,KM++-200,KM++-200_sd,KM++-200_time,RAND-200,RAND-200_sd,RAND-200_time,Before,Before_sd, File
91, 196, 3, 2, 57, 33, 10, 36, 44 b, 5, 129.38, 42 b, 4, 135.40, 42 b, 4, 134.47, 40 b, 3, 162.03, 37 a, 3, 262.69, 34 a, 1, 440.46, 33 a, 0, 568.38, 46 c, 8, 7.52, 42 b, 6, 9.67, 40 b, 4, 17.73, 39 a, 3, 21.97, 37 a, 3, 41.63, 35 a, 2, 110.16, 34 a, 1, 145.67, 44 b, 6, 1551.80, 41 b, 6, 2984.75, 40 b, 4, 5436.76, 38 a, 4, 6553.14, 35 a, 3, 9490.60, 33 a, 0, 16107.72, 33 a, 0, 33974.19, 46 c, 8, 20.95, 42 b, 5, 32.17, 39 a, 4, 82.87, 38 a, 4, 93.39, 36 a, 2, 183.17, 34 a, 2, 381.72, 34 a, 1, 747.64, 45 b, 5, 10.19, 43 b, 3, 14.34, 43 b, 3, 16.92, 43 b, 3, 19.50, 40 b, 3, 36.38, 35 a, 3, 69.11, 33 a, 0, 93.11, 45 b, 5, 7.37, 44 b, 5, 10.91, 42 b, 5, 10.98, 41 b, 5, 10.51, 38 a, 4, 21.63, 34 a, 2, 22.46, 33 a, 0, 47.61, 44 b, 4, 0.99, 44 b, 7, 0.02, 42 b, 4, 2.30, 41 b, 5, 0.04, 41 b, 4, 2.68, 40 b, 4, 0.05, 40 b, 3, 3.57, 39 a, 4, 0.06, 38 a, 3, 12.05, 37 a, 3, 0.14, 36 a, 2, 40.03, 35 a, 2, 0.27, 33 a, 0, 159.98, 34 a, 1, 0.51, 57 d, 10, SS-G.csv
96, 196, 3, 1, 27, 0, 18, 1, 6 a, 9, 79.99, 3 a, 6, 162.92, 2 a, 5, 227.40, 2 a, 5, 177.86, 1 a, 1, 260.26, 0 a, 0, 405.26, 0 a, 0, 482.94, 4 a, 6, 5.65, 1 a, 2, 9.87, 1 a, 1, 17.33, 0 a, 0, 18.41, 0 a, 0, 48.77, 0 a, 0, 85.39, 0 a, 0, 176.92, 9 b, 9, 1665.17, 2 a, 2, 2836.28, 1 a, 2, 3534.72, 0 a, 0, 4375.09, 0 a, 0, 6906.60, 0 a, 0, 13657.12, 0 a, 0, 26785.83, 4 a, 6, 19.43, 1 a, 2, 38.93, 0 a, 0, 45.40, 0 a, 0, 83.66, 0 a, 0, 120.22, 0 a, 0, 391.20, 0 a, 0, 727.77, 10 b, 11, 9.89, 1 a, 1, 15.95, 0 a, 0, 20.33, 0 a, 0, 18.45, 0 a, 0, 37.02, 0 a, 0, 69.49, 0 a, 0, 115.17, 6 a, 9, 9.97, 1 a, 2, 8.60, 2 a, 5, 11.74, 1 a, 3, 12.15, 0 a, 0, 11.78, 0 a, 0, 18.91, 0 a, 0, 46.09, 10 b, 10, 0.95, 7 b, 9, 0.02, 4 a, 6, 1.95, 2 a, 2, 0.03, 1 a, 2, 2.04, 2 a, 4, 0.04, 1 a, 2, 3.07, 2 a, 4, 0.05, 0 a, 0, 10.61, 0 a, 0, 0.10, 0 a, 0, 39.18, 0 a, 0, 0.22, 0 a, 0, 185.75, 0 a, 0, 0.61, 27 c, 18, wc+wc-3d-c4-obj1.csv
96, 1152, 16, 1, 38, 0, 28, 2, 6 a, 6, 115.84, 4 a, 7, 160.83, 3 a, 5, 219.14, 1 a, 1, 170.63, 1 a, 1, 357.62, 0 a, 1, 536.92, 0 a, 0, 1062.72, 4 a, 3, 9.65, 3 a, 2, 20.84, 2 a, 2, 36.71, 1 a, 1, 37.64, 1 a, 1, 72.32, 0 a, 0, 137.11, 0 a, 0, 344.82, 4 a, 2, 2356.53, 3 a, 2, 3475.60, 2 a, 2, 4809.42, 1 a, 1, 4755.55, 0 a, 1, 7400.98, 0 a, 0, 10673.33, 0 a, 0, 19047.47, 4 a, 3, 12.51, 2 a, 2, 40.91, 2 a, 2, 121.65, 2 a, 2, 134.19, 1 a, 1, 452.14, 0 a, 0, 1041.49, 0 a, 0, 2035.48, 4 a, 4, 11.11, 1 a, 1, 19.01, 0 a, 0, 28.94, 0 a, 0, 36.29, 0 a, 0, 80.24, 0 a, 0, 156.49, 0 a, 0, 268.40, 4 a, 3, 9.24, 3 a, 5, 9.60, 1 a, 2, 9.36, 1 a, 1, 10.21, 0 a, 0, 17.00, 0 a, 0, 24.48, 0 a, 0, 57.45, 5 a, 5, 2.39, 5 a, 6, 0.02, 3 a, 3, 9.12, 2 a, 2, 0.05, 2 a, 2, 16.97, 2 a, 2, 0.05, 1 a, 1, 25.42, 1 a, 1, 0.07, 1 a, 1, 71.25, 1 a, 1, 0.12, 0 a, 0, 96.33, 0 a, 0, 0.23, 0 a, 0, 214.19, 0 a, 0, 1.59, 38 b, 28, X264_AllMeasurements.csv
84, 223, 10, 3, 62, 30, 12, 35, 48 c, 4, 131.62, 45 b, 5, 160.10, 44 b, 6, 198.78, 42 b, 5, 206.69, 38 a, 5, 305.08, 37 a, 5, 473.60, 35 a, 4, 816.51, 47 c, 6, 22.79, 41 b, 7, 56.77, 39 a, 7, 75.62, 38 a, 6, 100.95, 35 a, 5, 210.77, 34 a, 5, 455.10, 33 a, 4, 963.28, 46 c, 7, 565.54, 42 b, 6, 1224.04, 42 b, 6, 1473.70, 41 b, 6, 2495.08, 38 a, 4, 3527.52, 36 a, 5, 10361.31, 34 a, 5, 30188.50, 47 c, 6, 27.86, 41 b, 7, 78.81, 39 a, 6, 168.77, 39 a, 6, 237.77, 36 a, 5, 520.57, 33 a, 4, 1179.45, 33 a, 4, 2897.61, 48 c, 6, 11.82, 42 b, 2, 23.33, 41 b, 3, 32.24, 40 b, 4, 42.55, 33 a, 5, 84.82, 30 a, 2, 163.97, 30 a, 0, 280.55, 48 c, 7, 8.87, 43 b, 8, 18.34, 40 b, 7, 21.61, 42 b, 4, 23.31, 37 a, 6, 31.81, 32 a, 4, 61.34, 30 a, 0, 142.43, 47 c, 8, 2.43, 48 c, 6, 0.04, 45 b, 3, 5.05, 46 b, 4, 0.04, 41 b, 5, 4.16, 41 b, 4, 0.06, 41 b, 5, 3.80, 42 b, 4, 0.09, 37 a, 5, 13.40, 38 a, 5, 0.15, 35 a, 4, 40.97, 37 a, 4, 0.30, 31 a, 3, 155.28, 33 a, 4, 0.58, 62 d, 12, A2C_Acrobot.csv
95, 1023, 11, 2, 63, 16, 17, 18, 38 c, 17, 142.56, 34 c, 16, 159.57, 29 b, 13, 176.08, 25 b, 11, 189.61, 17 a, 1, 180.82, 16 a, 1, 469.24, 16 a, 0, 691.33, 35 c, 18, 11.33, 30 b, 14, 23.72, 27 b, 13, 26.37, 22 a, 8, 43.14, 19 a, 2, 58.20, 17 a, 2, 140.17, 16 a, 0, 280.78, 31 b, 13, 2931.86, 27 b, 12, 5473.16, 20 a, 6, 6892.52, 18 a, 5, 6492.03, 16 a, 1, 9722.30, 16 a, 0, 18174.54, 16 a, 0, 38866.88, 35 c, 18, 14.20, 27 b, 13, 45.16, 27 b, 12, 84.81, 25 b, 11, 142.79, 21 a, 7, 405.99, 18 a, 4, 1077.97, 17 a, 1, 2413.69, 38 c, 14, 18.23, 28 b, 13, 22.68, 20 a, 8, 24.02, 19 a, 7, 32.39, 16 a, 1, 65.94, 16 a, 0, 100.49, 16 a, 0, 202.03, 34 c, 17, 3.36, 30 b, 12, 9.57, 21 a, 8, 10.71, 20 a, 4, 9.67, 17 a, 1, 14.72, 17 a, 1, 22.97, 16 a, 1, 46.34, 44 d, 17, 1.83, 36 c, 15, 0.03, 29 b, 11, 6.87, 27 b, 12, 0.05, 23 a, 9, 16.21, 27 b, 10, 0.06, 21 a, 7, 18.88, 22 a, 7, 0.08, 19 a, 4, 45.25, 19 a, 5, 0.15, 17 a, 2, 79.58, 17 a, 1, 1.00, 17 a, 1, 191.30, 17 a, 1, 0.57, 63 e, 17, SS-P.csv
98, 864, 18, 1, 28, 0, 38, 0, 1 a, 1, 123.01, 1 a, 0, 177.03, 0 a, 0, 183.85, 0 a, 0, 230.00, 0 a, 0, 331.57, 0 a, 0, 497.76, 0 a, 0, 853.17, 1 a, 2, 13.81, 1 a, 0, 26.78, 0 a, 0, 34.10, 0 a, 0, 42.98, 0 a, 0, 107.40, 0 a, 0, 180.93, 0 a, 0, 337.37, 2 a, 2, 2381.12, 0 a, 0, 3985.20, 1 a, 1, 4828.40, 0 a, 0, 6093.08, 0 a, 0, 13238.69, 0 a, 0, 15952.09, 0 a, 0, 21099.51, 1 a, 2, 30.46, 0 a, 0, 56.71, 0 a, 0, 121.19, 0 a, 0, 241.86, 0 a, 0, 519.48, 0 a, 0, 1125.33, 0 a, 0, 2725.36, 1 a, 1, 11.20, 0 a, 1, 20.18, 0 a, 1, 29.70, 0 a, 1, 38.77, 0 a, 0, 78.14, 0 a, 0, 147.39, 0 a, 0, 286.96, 2 a, 2, 8.82, 1 a, 1, 12.48, 0 a, 0, 12.50, 0 a, 1, 12.08, 0 a, 0, 17.91, 0 a, 0, 32.36, 0 a, 0, 51.91, 2 a, 2, 2.48, 2 a, 2, 0.06, 1 a, 2, 9.31, 1 a, 2, 0.04, 1 a, 1, 18.62, 0 a, 0, 0.05, 0 a, 0, 23.89, 0 a, 0, 0.07, 0 a, 0, 45.20, 0 a, 0, 0.11, 0 a, 0, 71.37, 0 a, 0, 0.22, 0 a, 0, 188.38, 0 a, 0, 0.46, 28 b, 38, HSQLDB.csv
95, 93, 22, 3, 54, 39, 5, 39, 52 d, 5, 86.77, 54 e, 6, 156.96, 44 b, 3, 206.33, 61 g, 5, 177.45, 52 d, 2, 306.01, 56 f, 0, 482.60, 59 f, 8, 869.98, 45 b, 6, 12.30, 43 b, 4, 34.65, 44 b, 2, 50.28, 39 a, 0, 40.11, 52 d, 0, 116.66, 39 a, 0, 151.41, 40 a, 2, 362.32, 52 d, 6, 1916.93, 44 b, 3, 3526.09, 43 b, 2, 4942.39, 57 f, 0, 8404.97, 53 e, 5, 12836.33, 39 a, 1, 18793.06, 39 a, 1, 36955.11, 57 f, 0, 33.31, 43 b, 2, 75.58, 50 d, 6, 92.57, 43 b, 2, 217.82, 42 b, 3, 626.07, 43 b, 2, 1419.52, 43 b, 0, 2497.13, 54 e, 3, 11.06, 50 d, 5, 22.77, 47 c, 5, 34.43, 44 b, 6, 41.57, 40 a, 3, 72.66, 39 a, 0, 97.02, 39 a, 0, 88.18, 53 d, 3, 7.41, 52 d, 5, 6.09, 47 c, 5, 14.32, 45 b, 4, 12.76, 41 a, 3, 26.64, 39 a, 1, 55.00, 39 a, 1, 66.58, 47 c, 5, 1.24, 47 c, 4, 0.02, 44 b, 3, 1.47, 45 b, 5, 0.04, 41 a, 2, 2.20, 44 b, 2, 0.12, 41 a, 2, 3.47, 44 b, 4, 0.09, 39 a, 0, 11.70, 41 a, 2, 0.19, 39 a, 0, 46.17, 40 a, 2, 0.37, 39 a, 0, 141.04, 39 a, 1, 0.68, 54 e, 5, nasa93dem.csv
92, 1024, 10, 1, 53, 0, 25, 4, 22 b, 11, 98.88, 20 b, 9, 107.84, 11 a, 10, 144.97, 9 a, 10, 182.68, 2 a, 2, 295.18, 1 a, 1, 449.75, 0 a, 0, 677.96, 26 b, 13, 8.07, 17 b, 13, 17.13, 10 a, 8, 23.53, 8 a, 6, 38.58, 4 a, 2, 61.52, 3 a, 2, 125.45, 1 a, 1, 263.85, 25 b, 17, 2034.23, 14 b, 11, 3302.69, 11 a, 8, 4303.71, 5 a, 6, 8066.65, 2 a, 1, 13113.00, 1 a, 1, 21127.29, 0 a, 0, 39099.70, 26 b, 13, 14.72, 14 b, 8, 42.05, 12 a, 9, 89.25, 12 a, 8, 167.43, 6 a, 6, 337.93, 3 a, 5, 698.99, 2 a, 4, 1775.72, 14 b, 12, 11.04, 5 a, 5, 16.81, 3 a, 4, 20.48, 2 a, 3, 31.90, 0 a, 0, 50.30, 0 a, 0, 98.37, 0 a, 0, 183.52, 18 b, 13, 8.20, 10 a, 9, 13.04, 4 a, 4, 11.24, 4 a, 3, 10.42, 3 a, 2, 9.22, 2 a, 2, 24.32, 1 a, 1, 40.39, 19 b, 13, 1.57, 25 b, 16, 0.02, 14 b, 8, 6.13, 13 b, 11, 0.03, 8 a, 7, 12.41, 10 a, 8, 0.05, 8 a, 6, 18.60, 9 a, 7, 0.06, 3 a, 3, 46.40, 3 a, 2, 0.12, 2 a, 2, 65.40, 2 a, 1, 0.25, 1 a, 1, 226.91, 2 a, 2, 0.47, 53 c, 25, LLVM.csv
92, 196, 3, 2, 56, 35, 10, 36, 44 b, 4, 146.22, 43 b, 5, 123.01, 42 b, 5, 195.51, 40 b, 3, 183.07, 38 a, 2, 220.79, 35 a, 1, 355.02, 35 a, 0, 537.30, 46 c, 7, 5.83, 42 b, 5, 13.17, 40 b, 4, 18.70, 40 a, 3, 19.23, 37 a, 2, 42.27, 36 a, 2, 80.25, 35 a, 1, 208.17, 44 b, 6, 1546.35, 43 b, 5, 2401.82, 41 b, 4, 3568.46, 39 a, 4, 7068.95, 36 a, 1, 10181.38, 35 a, 0, 14914.95, 35 a, 0, 34621.19, 46 c, 7, 26.02, 41 b, 5, 34.77, 39 a, 4, 62.11, 38 a, 3, 63.11, 36 a, 2, 151.77, 35 a, 1, 401.09, 35 a, 0, 615.17, 46 c, 5, 8.44, 44 b, 4, 22.31, 44 b, 3, 14.50, 43 b, 3, 26.34, 41 b, 3, 36.73, 35 a, 1, 79.49, 35 a, 0, 93.67, 46 c, 4, 9.18, 43 b, 5, 7.04, 44 b, 5, 11.94, 42 b, 4, 11.15, 39 a, 4, 16.02, 36 a, 2, 17.41, 35 a, 0, 49.86, 45 b, 3, 0.98, 44 b, 6, 0.02, 43 b, 4, 2.34, 41 b, 4, 0.03, 41 b, 4, 2.67, 41 b, 4, 0.05, 41 b, 3, 3.92, 39 a, 4, 0.07, 38 a, 3, 11.90, 38 a, 3, 0.13, 37 a, 2, 39.47, 36 a, 1, 0.26, 35 a, 0, 177.15, 35 a, 1, 0.54, 56 d, 10, SS-F.csv
82, 972, 11, 2, 39, 12, 13, 17, 30 c, 6, 116.18, 28 b, 5, 144.82, 27 b, 5, 159.06, 26 b, 5, 181.26, 21 a, 4, 315.79, 18 a, 4, 542.57, 17 a, 3, 814.17, 27 b, 4, 7.90, 26 b, 4, 18.54, 24 b, 4, 25.80, 23 b, 4, 34.40, 20 a, 3, 75.40, 18 a, 3, 121.80, 15 a, 2, 297.56, 27 b, 6, 4011.91, 26 b, 5, 4238.77, 22 b, 5, 5208.87, 21 a, 4, 7049.37, 18 a, 4, 10110.11, 16 a, 3, 15913.41, 14 a, 1, 31469.70, 27 b, 4, 22.11, 25 b, 5, 52.03, 23 b, 5, 86.86, 23 b, 4, 118.75, 20 a, 3, 384.86, 17 a, 4, 788.82, 17 a, 4, 2049.15, 24 b, 7, 11.03, 20 a, 6, 19.38, 19 a, 6, 25.11, 17 a, 5, 32.05, 14 a, 4, 69.67, 13 a, 3, 115.34, 13 a, 2, 291.96, 25 b, 6, 9.59, 20 a, 4, 11.20, 20 a, 5, 5.69, 17 a, 3, 11.26, 16 a, 2, 14.89, 13 a, 1, 26.11, 12 a, 0, 37.44, 25 b, 6, 2.35, 27 b, 6, 0.02, 22 b, 5, 8.82, 22 b, 5, 0.04, 20 a, 5, 18.47, 20 a, 5, 0.07, 18 a, 3, 23.32, 19 a, 3, 0.08, 16 a, 4, 52.06, 17 a, 3, 0.20, 14 a, 2, 91.59, 15 a, 2, 0.32, 13 a, 1, 229.28, 14 a, 2, 0.54, 39 d, 13, SS-O.csv
95, 1023, 11, 2, 63, 16, 17, 18, 38 c, 17, 136.49, 34 c, 16, 151.98, 29 b, 13, 185.78, 25 b, 11, 197.25, 17 a, 1, 253.56, 16 a, 1, 411.06, 16 a, 0, 728.71, 35 c, 18, 14.96, 30 b, 14, 17.69, 27 b, 13, 25.27, 22 a, 8, 35.47, 19 a, 2, 61.41, 17 a, 2, 135.26, 16 a, 0, 292.59, 31 b, 13, 1880.86, 27 b, 12, 5597.73, 20 a, 6, 5977.29, 18 a, 5, 6235.13, 16 a, 1, 11111.12, 16 a, 0, 18188.54, 16 a, 0, 25584.04, 35 c, 18, 34.95, 27 b, 13, 51.06, 27 b, 12, 84.05, 25 b, 11, 166.59, 21 a, 7, 450.33, 18 a, 4, 779.72, 17 a, 1, 1955.77, 35 c, 16, 10.36, 27 b, 12, 19.69, 20 a, 7, 30.20, 20 a, 6, 43.05, 18 a, 4, 103.09, 16 a, 1, 175.36, 16 a, 1, 374.41, 36 c, 17, 10.15, 31 b, 15, 6.99, 25 b, 15, 14.87, 19 a, 7, 19.97, 16 a, 1, 29.55, 16 a, 0, 50.10, 16 a, 0, 163.38, 43 d, 13, 3.17, 36 c, 15, 0.02, 34 c, 12, 14.34, 27 b, 12, 0.04, 23 a, 8, 25.23, 27 b, 10, 0.06, 24 b, 10, 32.40, 22 a, 7, 0.08, 18 a, 2, 72.55, 19 a, 5, 0.14, 17 a, 1, 98.80, 17 a, 1, 0.33, 16 a, 1, 227.41, 17 a, 1, 0.60, 63 e, 17, SS-L.csv
83, 1343, 3, 2, 25, 0, 19, 4, 9 a, 4, 130.09, 13 b, 17, 195.32, 9 a, 13, 246.04, 8 a, 13, 266.61, 3 a, 2, 436.74, 2 a, 2, 550.55, 0 a, 1, 749.31, 10 a, 4, 8.58, 8 a, 3, 13.62, 7 a, 3, 19.36, 6 a, 3, 24.34, 4 a, 2, 42.33, 3 a, 2, 105.03, 1 a, 1, 187.61, 11 b, 5, 1940.92, 6 a, 3, 2356.57, 4 a, 2, 4618.44, 2 a, 2, 5536.62, 1 a, 1, 10179.12, 0 a, 0, 14512.30, 0 a, 0, 26197.42, 10 a, 4, 8.74, 8 a, 4, 53.69, 6 a, 2, 59.65, 6 a, 2, 74.25, 4 a, 2, 208.91, 2 a, 1, 362.65, 1 a, 1, 717.02, 9 a, 4, 9.14, 5 a, 3, 14.46, 3 a, 2, 17.27, 3 a, 2, 21.03, 1 a, 1, 38.85, 1 a, 1, 71.32, 0 a, 0, 139.13, 8 a, 3, 9.82, 5 a, 3, 8.59, 4 a, 2, 5.95, 4 a, 2, 12.75, 1 a, 1, 14.86, 0 a, 1, 24.26, 0 a, 0, 60.52, 10 a, 4, 1.48, 11 a, 6, 0.03, 6 a, 3, 5.66, 6 a, 3, 0.05, 5 a, 2, 10.72, 6 a, 2, 0.05, 5 a, 2, 15.36, 5 a, 2, 0.07, 4 a, 1, 46.51, 4 a, 2, 0.14, 3 a, 2, 100.19, 3 a, 2, 0.29, 2 a, 1, 257.74, 2 a, 2, 0.54, 25 c, 19, SS-A.csv
97, 864, 17, 3, 31, 0, 35, 1, 3 a, 3, 139.09, 2 a, 2, 177.24, 1 a, 1, 190.25, 1 a, 1, 224.87, 0 a, 0, 296.68, 0 a, 0, 517.11, 0 a, 0, 804.70, 3 a, 4, 19.08, 1 a, 0, 21.91, 1 a, 0, 33.53, 1 a, 0, 45.64, 0 a, 0, 89.99, 0 a, 0, 204.19, 0 a, 0, 438.66, 4 a, 4, 2506.99, 2 a, 3, 5631.69, 1 a, 2, 6485.30, 0 a, 0, 8274.64, 0 a, 0, 9898.42, 0 a, 0, 11639.35, 0 a, 0, 16731.64, 3 a, 4, 36.03, 1 a, 0, 76.30, 1 a, 0, 139.47, 0 a, 0, 260.64, 0 a, 0, 723.50, 0 a, 0, 1056.88, 0 a, 0, 2476.96, 2 a, 3, 11.65, 1 a, 2, 17.90, 1 a, 2, 26.96, 0 a, 0, 37.05, 0 a, 0, 87.96, 0 a, 0, 141.28, 0 a, 0, 288.89, 4 a, 4, 7.36, 2 a, 3, 5.68, 0 a, 0, 10.39, 0 a, 0, 11.50, 0 a, 0, 18.20, 0 a, 0, 25.03, 0 a, 0, 48.36, 3 a, 4, 2.42, 4 a, 5, 0.03, 2 a, 3, 8.80, 3 a, 3, 0.05, 2 a, 3, 16.39, 1 a, 0, 0.07, 1 a, 0, 23.03, 1 a, 0, 0.09, 0 a, 0, 44.84, 0 a, 0, 0.22, 0 a, 0, 72.51, 0 a, 0, 0.34, 0 a, 0, 226.87, 0 a, 0, 0.62, 31 b, 35, SS-M.csv
97, 649, 33, 1, 85, 0, 36, 3, 70 d, 47, 165.22, 20 a, 41, 187.22, 40 b, 50, 253.41, 75 d, 44, 414.17, 15 a, 37, 542.90, 50 c, 51, 772.43, 0 a, 0, 1311.22, 30 b, 47, 21.61, 15 a, 37, 44.81, 10 a, 31, 77.02, 0 a, 0, 122.89, 0 a, 0, 156.65, 0 a, 0, 335.62, 0 a, 0, 843.52, 15 a, 37, 3674.64, 0 a, 0, 5183.75, 0 a, 0, 6319.17, 0 a, 0, 7543.07, 0 a, 0, 11672.21, 0 a, 0, 24959.43, 0 a, 0, 48661.16, 30 b, 47, 46.45, 0 a, 0, 116.48, 5 a, 22, 300.26, 0 a, 0, 402.59, 0 a, 0, 1015.89, 0 a, 0, 2270.78, 0 a, 0, 5220.80, 25 b, 44, 16.97, 0 a, 0, 35.96, 0 a, 0, 62.74, 0 a, 0, 85.43, 0 a, 0, 161.45, 0 a, 0, 317.27, 0 a, 0, 641.43, 25 b, 44, 6.57, 30 b, 47, 21.58, 5 a, 22, 18.80, 10 a, 31, 24.55, 0 a, 0, 44.27, 0 a, 0, 82.80, 0 a, 0, 126.94, 50 c, 51, 6.16, 30 b, 47, 0.02, 15 a, 37, 23.14, 0 a, 0, 0.03, 5 a, 22, 37.01, 5 a, 22, 0.05, 0 a, 0, 41.20, 0 a, 0, 0.06, 0 a, 0, 55.96, 0 a, 0, 0.11, 0 a, 0, 66.08, 0 a, 0, 0.21, 0 a, 0, 201.59, 0 a, 0, 0.45, 85 d, 36, student_dropout.csv
81, 1000, 20, 5, 46, 13, 11, 19, 29 b, 7, 151.63, 26 b, 5, 155.46, 25 b, 4, 180.52, 24 b, 4, 333.56, 22 a, 3, 363.80, 19 a, 3, 518.45, 18 a, 2, 1040.21, 34 c, 5, 16.32, 28 b, 6, 35.79, 26 b, 4, 40.48, 24 b, 4, 67.01, 21 a, 3, 107.48, 19 a, 2, 221.93, 18 a, 3, 514.80, 29 b, 9, 868.26, 25 b, 6, 1510.83, 23 b, 3, 2270.98, 22 a, 5, 3110.71, 21 a, 5, 6155.76, 19 a, 3, 22938.94, 17 a, 3, 41452.48, 34 c, 5, 43.22, 29 b, 6, 84.78, 26 b, 6, 174.04, 25 b, 5, 256.51, 21 a, 4, 577.59, 20 a, 5, 1706.27, 18 a, 4, 3126.04, 38 d, 6, 13.84, 31 c, 9, 31.33, 23 a, 6, 51.56, 21 a, 5, 72.00, 19 a, 4, 158.96, 18 a, 3, 312.91, 16 a, 2, 675.56, 31 c, 10, 12.48, 32 c, 9, 17.78, 26 b, 7, 20.30, 26 b, 7, 29.68, 20 a, 5, 43.19, 17 a, 4, 86.16, 16 a, 2, 227.35, 31 c, 8, 5.90, 32 c, 8, 0.04, 26 b, 7, 24.16, 23 b, 5, 0.07, 25 b, 6, 42.35, 25 b, 6, 0.08, 21 a, 4, 57.06, 21 a, 5, 0.11, 21 a, 4, 120.91, 20 a, 3, 0.20, 18 a, 2, 189.66, 18 a, 3, 0.40, 17 a, 2, 245.54, 17 a, 3, 0.78, 46 e, 11, coc1000.csv
79, 1599, 10, 2, 42, 15, 9, 21, 36 d, 6, 122.61, 35 c, 6, 145.40, 31 c, 6, 179.56, 30 b, 5, 207.43, 28 b, 4, 322.63, 25 b, 4, 459.85, 23 a, 5, 790.23, 34 c, 5, 28.94, 29 b, 4, 93.55, 28 b, 3, 106.67, 28 b, 4, 181.79, 27 b, 3, 291.62, 25 b, 4, 765.05, 23 a, 4, 1752.09, 35 c, 4, 2404.36, 30 b, 5, 4158.52, 29 b, 5, 4691.76, 27 b, 5, 5417.72, 26 b, 4, 6832.91, 25 b, 5, 12368.89, 23 a, 4, 24177.99, 34 c, 5, 43.63, 31 c, 4, 57.38, 29 b, 2, 148.77, 29 b, 3, 221.79, 27 b, 3, 444.31, 25 b, 4, 966.43, 22 a, 3, 2307.08, 31 c, 6, 10.99, 29 b, 3, 19.58, 28 b, 3, 31.06, 28 b, 3, 35.85, 25 b, 5, 82.25, 22 a, 5, 160.32, 20 a, 4, 286.89, 33 c, 6, 10.49, 28 b, 6, 10.28, 28 b, 4, 7.80, 25 b, 6, 13.53, 23 a, 6, 19.87, 20 a, 5, 43.52, 17 a, 2, 96.48, 31 c, 6, 3.38, 31 c, 3, 0.05, 30 b, 4, 13.33, 29 b, 5, 0.04, 28 b, 3, 27.56, 29 b, 3, 0.06, 28 b, 4, 42.69, 26 b, 4, 0.09, 25 b, 4, 126.58, 23 a, 5, 0.15, 19 a, 3, 212.02, 22 a, 3, 0.33, 18 a, 3, 318.78, 20 a, 3, 0.55, 42 e, 9, Wine_quality.csv
